What is your favorite color?
What is your dream job?
What is your favorite hobby?
What is your favorite book?
What is your favorite movie?
What is your favorite food?
What is your favorite sport?
What is your favorite animal?
What is your favorite holiday destination?
What is your favorite season?
What is your favorite subject in school?
What is your favorite type of music?
What is your favorite song?
What is your favorite TV show?
What is your favorite video game?
What is your favorite childhood memory?
What is your favorite type of weather?
What is your favorite type of cuisine?
What is your favorite drink?
What is your favorite dessert?
What is your favorite type of clothing?
What is your favorite type of art?
What is your favorite type of dance?
What is your favorite type of exercise?
What is your favorite type of flower?
What is your favorite type of tree?
What is your favorite type of car?
What is your favorite type of house?
What is your favorite type of technology?
What is your favorite type of pet?
What is your favorite type of vacation?
What is your favorite type of celebration?
What is your favorite type of festival?
What is your favorite type of game?
What is your favorite type of puzzle?
What is your favorite type of story?
What is your favorite type of history?
What is your favorite type of science?
What is your favorite type of math?
What is your favorite type of language?
What is your favorite type of culture?
What is your favorite type of tradition?
What is your favorite type of adventure?
What is your favorite type of challenge?
What is your favorite type of goal?
What is your favorite type of dream?
What is your favorite type of memory?
What is your favorite type of skill?
What is your favorite type of talent?
What is your favorite type of achievement?
What is your favorite type of inspiration?
What is your favorite type of motivation?
What is your favorite type of relaxation?
What is your favorite type of meditation?
What is your favorite type of yoga?
What is your favorite type of sport to watch?
What is your favorite type of sport to play?
What is your favorite type of competition?
What is your favorite type of teamwork?
What is your favorite type of leadership?
What is your favorite type of friendship?
What is your favorite type of relationship?
What is your favorite type of family?
What is your favorite type of community?
What is your favorite type of society?
What is your favorite type of world?
What is your favorite type of universe?
What is your favorite type of galaxy?
What is your favorite type of star?
What is your favorite type of planet?
What is your favorite type of moon?
What is your favorite type of ocean?
What is your favorite type of river?
What is your favorite type of lake?
What is your favorite type of mountain?
What is your favorite type of forest?
What is your favorite type of desert?
What is your favorite type of island?
What is your favorite type of city?
What is your favorite type of country?
What is your favorite type of continent?
What is your favorite type of landmark?
What is your favorite type of building?
What is your favorite type of bridge?
What is your favorite type of road?
What is your favorite type of transportation?
What is your favorite type of invention?
What is your favorite type of discovery?
What is your favorite type of exploration?
What is your favorite type of experiment?
What is your favorite type of innovation?
What is your favorite type of creativity?
What is your favorite type of imagination?
What is your favorite type of expression?
What is your favorite type of communication?
What is your favorite type of connection?
What is your favorite type of understanding?
What is your favorite type of learning?
What is your favorite type of teaching?
What is your favorite type of sharing?
What is your favorite type of giving?
What is your favorite type of receiving?
